id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
123103,Aftershock,Aftershock,es,mayhem death follow earthquake traps group tourists chilean town.,2012-09-12,14.116,5.1,2000000,58510,89,"Horror, Thriller",,,2012,9,12
10776,Little Shop of Horrors,Little Shop of Horrors,en,"seymour krelborn nerdy orphan working mushnik's, flower shop urban skid row. harbors crush fellow co-worker audrey fulquard, berated mr. mushnik daily. day seymour finds very mysterious unidentified plant which calls audrey ii. plant seems craving blood soon begins sing supper.",1986-12-19,14.076,6.9,25000000,38748395,94,"Comedy, Horror",,,1986,12,19
13812,Quarantine,Quarantine,en,television reporter cameraman trapped inside building quarantined cdc outbreak mysterious virus which turns humans bloodthirsty killers.,2008-10-10,14.059,5.8,12000000,40855419,89,"Fantasy, Horror, Mystery, Science Fiction, Thriller",123932.0,Quarantine Collection,2008,10,10
243940,The Lazarus Effect,The Lazarus Effect,en,"medical researcher frank, fiancee zoe team achieved impossible: found way revive dead. successful, unsanctioned, experiment lifeless animal, ready make work public. however, dean learns what they've done, shuts down. zoe killed during attempt recreate experiment, leading frank test process her. zoe revived -- something evil within her.",2015-01-29,14.05,5.3,3300000,64110728,83,"Horror, Mystery, Science Fiction, Thriller",,,2015,1,29
9890,The Stepford Wives,The Stepford Wives,en,"what does take become stepford wife, perfect beyond belief? ask stepford husbands, who've created high-tech, terrifying little town.",2004-06-10,14.006,5.7,90000000,102000000,93,"Comedy, Horror, Science Fiction, Thriller",,,2004,6,10
18983,"Godzilla, King of the Monsters!","Godzilla, King of the Monsters!",en,"during assignment, foreign correspondent steve martin spends layover tokyo caught amid rampage unstoppable prehistoric monster japanese call 'godzilla'. only hope both japan world lies secret weapon, which may prove more destructive than monster itself.",1956-04-27,13.969,6.6,25000,2000000,81,"Horror, Science Fiction",813157.0,Americanized Godzilla Collection,1956,4,27
9997,Gabriel,Gabriel,en,gabriel tells story archangel fights bring light back purgatory - place where darkness rules - save souls city's inhabitants.,2007-11-15,13.968,6.0,200000,1395610,109,"Action, Fantasy, Horror, Science Fiction",,,2007,11,15
11954,Lifeforce,Lifeforce,en,space shuttle mission investigating halley's comet brings back malevolent race space vampires transform most london's population zombies. only survivor expedition british authorities attempt capture mysterious beautiful alien appears responsible.,1985-06-21,13.962,6.3,25000000,11603545,102,"Horror, Science Fiction, Thriller",,,1985,6,21
36095,キュア,Cure,ja,"wave gruesome murders sweeping tokyo. only connection bloody x carved neck each victims. each case, murderer found near victim remembers nothing crime. detective takabe psychologist sakuma called figure connection, investigation goes nowhere...",1997-12-27,13.922,7.4,20000,99000,111,"Crime, Horror, Mystery, Thriller",,,1997,12,27
12205,仄暗い水の底から,Dark Water,ja,midst unpleasant divorce moves eerie apartment building young daughter. ceiling apartment dark active leak.,2002-01-19,13.856,6.7,4000000,1686839,101,"Horror, Mystery",,,2002,1,19
